Restuarant_Address_Id,Restuarant_Address,City,Region,Zip_Code,Restaurant_Id,Country_Alpha_Code,Restaurant_Address_Is_active,Restaurant_Address_Activated_Date,Restaurant_Address_Inactivated_Date
1,123 Abbey Road,London,Greater London,NW8 0AY,45,GBR,TRUE,15-03-2021,
2,456 Oxford Street,Manchester,Greater Manchester,M1 5AN,52,GBR,TRUE,20-06-2022,
3,789 High Street,Birmingham,West Midlands,B17 9QG,15,GBR,TRUE,10-11-2020,
4,111 Park Avenue,Leeds,West Yorkshire,LS11 6ES,89,GBR,FALSE,25-08-2019,05-12-2021
5,222 Church Road,Glasgow,Glasgow City,G12 8DP,78,GBR,TRUE,30-04-2018,
6,333 Queen's Road,Edinburgh,Edinburgh,EH9 1DL,117,GBR,TRUE,05-01-2023,
7,444 Main Street,Bristol,Bristol,BS1 4HQ,25,IND,TRUE,20-07-2017,
8,555 Victoria Street,Liverpool,Merseyside,L1 6DE,87,IND,TRUE,15-12-2016,
9,666 Richmond Road,Newcastle,Tyne and Wear,NE4 6JD,14,GBR,TRUE,01-09-2021,
10,777 Corporation Street,Sheffield,South Yorkshire,S3 8RU,26,GBR,FALSE,28-03-2018,10-07-2023
11,888 Market Square,Nottingham,Nottinghamshire,NG1 6HY,139,GBR,TRUE,12-07-2017,
12,999 Highfield Road,Southampton,Hampshire,SO17 1BJ,80,GBR,TRUE,01-10-2022,
13,1111 Newport Road,Cardiff,Cardiff,CF24 2EA,26,GBR,TRUE,05-11-2019,
14,2222 Donegall Square West,Belfast,Belfast,BT1 6JH,121,IND,TRUE,18-02-2020,
15,3333 Ellis Road,London,Greater London,NW10 5DH,4,GBR,TRUE,25-04-2017,
16,4444 Cambridge Street,Manchester,Greater Manchester,M4 7EQ,63,GBR,TRUE,12-08-2020,
17,5555 Bridge Lane,Birmingham,West Midlands,B5 7SB,87,GBR,FALSE,19-10-2018,10-02-2023
18,6666 Highgate Avenue,Leeds,West Yorkshire,LS7 4QQ,106,GBR,TRUE,09-01-2022,
19,7777 St. Mark's Road,Glasgow,Glasgow City,G2 9DG,9,GBR,TRUE,14-07-2019,
20,8888 Albert Street,Edinburgh,Edinburgh,EH8 9BU,77,IND,TRUE,10-06-2016,
21,1111 Main Bazaar,New Delhi,Delhi,110006,14,IND,TRUE,20-01-2019,
22,2222 MG Road,Mumbai,Maharashtra,400001,93,GBR,TRUE,15-05-2020,
23,3333 Brigade Road,Bangalore,Karnataka,560001,1,GBR,TRUE,12-09-2018,
24,4444 Park Street,Hyderabad,Telangana,500001,35,GBR,FALSE,28-03-2021,15-12-2022
25,5555 Mount Road,Chennai,Tamil Nadu,600002,16,GBR,TRUE,05-08-2017,
26,6666 MG Marg,Kolkata,West Bengal,700001,31,GBR,TRUE,18-12-2022,
27,7777 MG Road,Jaipur,Rajasthan,302001,60,GBR,TRUE,25-05-2019,
28,8888 Civil Lines,Lucknow,Uttar Pradesh,226001,68,GBR,TRUE,10-12-2016,
29,9999 SP Road,Pune,Maharashtra,411001,112,IND,TRUE,15-08-2020,
30,1111 Anna Salai,Chennai,Tamil Nadu,600006,65,IND,FALSE,14-02-2018,01-07-2023
31,2222 MG Road,Delhi,Delhi,110001,137,IND,TRUE,30-06-2017,
32,3333 Lal Bagh Road,Bangalore,Karnataka,560004,82,GBR,TRUE,05-09-2021,
33,4444 Park Street,Mumbai,Maharashtra,400004,47,GBR,TRUE,12-11-2018,
34,5555 SP Road,Hyderabad,Telangana,500003,34,IND,TRUE,28-02-2019,
35,6666 Park Street,Chennai,Tamil Nadu,600004,86,GBR,TRUE,15-03-2017,
36,7777 Brigade Road,Kolkata,West Bengal,700004,73,GBR,TRUE,20-08-2020,
37,8888 MG Road,Jaipur,Rajasthan,302004,55,GBR,FALSE,25-04-2019,15-12-2020
38,9999 Civil Lines,Lucknow,Uttar Pradesh,226004,39,GBR,TRUE,01-12-2016,
39,1111 SP Road,Pune,Maharashtra,411004,25,GBR,TRUE,05-08-2020,
40,2222 Anna Salai,Chennai,Tamil Nadu,600008,38,GBR,TRUE,28-02-2018,
41,3333 MG Road,Delhi,Delhi,110005,142,GBR,TRUE,12-07-2017,
42,4444 Lal Bagh Road,Bangalore,Karnataka,560005,69,GBR,TRUE,01-12-2022,
43,5555 Park Street,Mumbai,Maharashtra,400005,9,IND,TRUE,05-11-2019,
44,6666 SP Road,Hyderabad,Telangana,500005,38,IND,TRUE,18-02-2020,
45,7777 MG Road,Chennai,Tamil Nadu,600009,43,GBR,TRUE,25-04-2017,
46,8888 Brigade Road,Kolkata,West Bengal,700009,44,IND,TRUE,12-08-2020,
47,9999 Park Street,Jaipur,Rajasthan,302009,11,GBR,FALSE,19-08-2019,05-12-2022
48,1111 Civil Lines,Lucknow,Uttar Pradesh,226009,51,GBR,TRUE,15-10-2016,
49,2222 SP Road,Pune,Maharashtra,411009,44,GBR,TRUE,20-01-2022,
50,3333 Anna Salai,Chennai,Tamil Nadu,600010,126,GBR,TRUE,25-05-2018,
51,123 Baker Street,London,Greater London,NW1 6XE,24,IND,TRUE,15-03-2021,
52,456 High Street,Manchester,Greater Manchester,M2 1EA,115,GBR,TRUE,20-06-2022,
53,789 Market Square,Birmingham,West Midlands,B1 1AA,51,GBR,TRUE,10-11-2020,
54,111 Park Lane,Leeds,West Yorkshire,LS1 1AA,118,GBR,TRUE,25-08-2019,
55,222 Queen's Road,Glasgow,Glasgow City,G1 1AA,36,GBR,TRUE,30-04-2018,
56,333 George Street,Edinburgh,Edinburgh,EH1 1AA,125,IND,TRUE,05-01-2023,
57,444 Main Street,Bristol,Bristol,BS1 1AA,125,IND,FALSE,20-07-2017,15-09-2022
58,555 Victoria Road,Liverpool,Merseyside,L1 1AA,4,GBR,TRUE,15-12-2016,
59,666 Richmond Street,Newcastle,Tyne and Wear,NE1 1AA,20,IND,TRUE,01-09-2021,
60,777 Corporation Road,Sheffield,South Yorkshire,S1 1AA,90,GBR,TRUE,28-03-2018,
61,888 Market Street,Nottingham,Nottinghamshire,NG1 1AA,97,IND,TRUE,12-07-2017,
62,999 Highfield Street,Southampton,Hampshire,SO1 1AA,111,GBR,TRUE,01-10-2022,
63,1111 Newport Street,Cardiff,Cardiff,CF1 1AA,75,GBR,TRUE,05-11-2019,
64,2222 Donegall Square East,Belfast,Belfast,BT1 1AA,121,GBR,TRUE,18-02-2020,
